nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso
ROSA B.,feminino,s5d89dijud296uok63banuesttikbc,,56.0,28826.0,859.1,43,sul,solteiro(a),médio,0,transferência,12
GABRIELA E.,feminino,pa4gesp3gez4j2kg51lrni1doxbi9u,2283060060,25.0,45882.0,245.9,15,norte,solteiro(a),fundamental,0,pix,16
TEREZINHA I.,feminino,34rxh1ach5pa0qxbbe3l1bj0vsiw8h,0471737283,25.0,56731.0,301.5,24,sudeste,solteiro(a),médio,2,boleto,0
JAQUELINE E.,feminino,1w80jjs2943m6uec5lgl428h00gu5z,8968758310,28.0,39541.0,249.3,40,sudeste,solteiro(a),médio,2,cartão de débito,17
LARISSA K.,feminino,t2sqpl3hlghvqh0g0wk4fbcw0zia68,,43.0,104456.0,593.2,87,norte,divorciado(a),graduado,1,cartão de crédito,0
ELIAS K.,feminino,o4lblx8hbo3xfsimvgbvzpzvzeowmd,2525757437,40.0,62543.0,518.4,46,sul,separado(a),fundamental,1,cartão de débito,0
CAMILA T.,feminino,dpr7zgfg3seipohl66phdw4bdcbvjj,9719368652,43.0,46025.0,463.7,119,sudeste,divorciado(a),pós-graduado,1,cartão de débito,0
RENATA O.,feminino,4v2n9k3swonjwbnhswpba7tfqd38of,0409935928,23.0,52122.0,214.3,45,norte,solteiro(a),fundamental,2,pix,0
JOSE S.,feminino,gl37v2w8gfxwkvx82t3ac24jvbgo2r,3143554171,30.0,57066.0,541.8,75,sudeste,solteiro(a),médio,1,pix,0
FERNANDA S.,feminino,s72nimxlzqgt6vknk1t5s6v0ttltm7,4523405680,27.0,61272.0,229.4,39,nordeste,solteiro(a),fundamental,0,cartão de crédito,9
SUELI E.,feminino,1lhm5c7oezhzjs46mgu33icp2qfv3x,6343675661,21.0,45752.0,599.9,24,sudeste,casado(a),pós-graduado,1,pix,9
APARECIDA F.,feminino,i7k6q79v5hqn0fahx01kxkd0b9gks5,1752438674,46.0,56520.0,718.9,32,sudeste,separado(a),outros,1,cartão de crédito,4
JULIANA E.,feminino,6dzrgsnp4t82ofkr6swb6onq17pp2w,,43.0,65550.0,541.4,54,sudeste,separado(a),pós-graduado,1,cartão de crédito,0
SUELI C.,feminino,laja5tionuh45h4nghlsnmok3hutg9,7276316018,29.0,24535.0,440.5,17,sudeste,casado(a),médio,1,cartão de débito,9
JULIA G.,feminino,jnk5nmp6hjaiwriwwsatmwecjgotdc,8949000619,43.0,71639.0,498.1,85,sudeste,casado(a),pós-graduado,2,pix,10
JESSICA U.,feminino,55vw6k5xhqj0wxr3d7xj6o0ok6obah,5033111791,28.0,60432.0,626.8,35,sudeste,casado(a),fundamental,2,cartão de débito,8
SUELI J.,feminino,ju4e96si8024gqu42j6xqvzc2mh3i3,0248535285,41.0,56327.0,614.4,25,nordeste,solteiro(a),médio,0,cartão de débito,0
CLAUDIA G.,feminino,iekornx5n5jkduok3bx6s32p0jb8k0,6753495663,51.0,62140.0,740.9,24,norte,casado(a),médio,4,pix,4
GABRIEL W.,feminino,7zc1znei1sztx997gnuads3gr0mmwf,,32.0,66026.0,610.5,21,centro-oeste,casado(a),fundamental,0,transferência,0
CARLA Z.,feminino,l1sucntom9i5v5el5m7kt1ix8iqhad,,,61653.0,547.3,25,sudeste,separado(a),,2,cartão de crédito,13
ELIAS L.,feminino,s1xokm2hw15efbqs6f53lf28rlq0mv,,29.0,38844.0,369.9,30,sul,casado(a),médio,2,cartão de débito,0
RITA A.,feminino,w6htgklwfdps6uobm9gbxp8kt75mqg,,28.0,32065.0,,13,sudeste,solteiro(a),médio,2,cartão de débito,10
CLAUDIA H.,feminino,rnnc6xqo1ksm172apx08tos9u95lrk,,25.0,36993.0,311.2,36,sudeste,divorciado(a),médio,2,cartão de débito,5
ALESSANDRA T.,feminino,n5zmnvhxltc0krnmr6xe4igrr2h9lp,7943410361,50.0,99304.0,780.6,25,sul,solteiro(a),fundamental,0,cartão de débito,3
LUIZA U.,feminino,qri7atn1r1ejx3co70z44lo3eusf3z,3534512687,20.0,30032.0,487.6,18,sudeste,viúvo(a),fundamental,2,pix,8
ALINE R.,feminino,h5us1jcnrhhv1czqc3kcwipqhl7zu9,4445487727,27.0,91984.0,465.7,52,sudeste,casado(a),,1,boleto,20
MARLENE F.,feminino,jg8bdfswvnjfs7n4fipejnrgmi7l81,,45.0,76169.0,426.9,35,sudeste,divorciado(a),fundamental,1,boleto,0
AMANDA X.,feminino,atcxen7mdbr1bt6es8f5hsos1k3lik,3654249829,36.0,55299.0,580.3,33,sul,solteiro(a),graduado,1,cartão de débito,6
LUIZA A.,feminino,10i78r3us1erhn9wha0jjnowdijk8o,,31.0,57743.0,393.5,65,sul,viúvo(a),médio,1,cartão de débito,0
DEBORA U.,feminino,e41fnjz6qbsh82xxk420roo0zukz7w,9161429254,48.0,114133.0,556.8,25,sudeste,casado(a),fundamental,0,boleto,12
VERA C.,feminino,jt7vbdf6ng5s6uqqr9lmcqa0qeizjo,,40.0,33121.0,477.8,38,sudeste,divorciado(a),fundamental,1,cartão de crédito,0
TEREZINHA G.,feminino,6z3btgsb1pma73j1orcp7o1c4msw4i,3655586788,53.0,69817.0,551.5,35,sudeste,solteiro(a),fundamental,1,cartão de débito,0
ALINE S.,feminino,j3fp8pszezz0vd937spmun0bwlvgi7,,37.0,67709.0,439.2,52,norte,divorciado(a),outros,4,cartão de débito,13
CAMILA H.,feminino,jei3nbw8hzubbu8xejncb01fhr290s,4440785712,,34438.0,739.3,58,sudeste,solteiro(a),médio,1,pix,0
MARLENE B.,feminino,sehzf21uxoe9h3ivu0kw44slj309ri,,30.0,44293.0,493.4,14,centro-oeste,solteiro(a),graduado,1,cartão de débito,0
LUIZ N.,feminino,gbw28kqdsbf0z1clq7v6z58fxs7d1h,,38.0,35162.0,405.5,28,sudeste,casado(a),,0,cartão de crédito,9
DEBORA C.,feminino,xnubkqfpt2b0ep5fstp5s9c8awbass,,31.0,54540.0,292.8,49,sudeste,casado(a),fundamental,3,pix,13
MARLENE Z.,feminino,p9zhlluf6d0nsjqz4ikdtpualuz6kv,9268385037,37.0,48971.0,703.6,37,sul,casado(a),médio,1,transferência,0
LARISSA I.,feminino,iebztqu991uhv7hpq1pv4x37x1ws6o,7583307032,37.0,73126.0,614.0,67,sudeste,divorciado(a),,1,pix,2
RENATA G.,feminino,q268377zeq3xcvbprsmu1w6bqirfv0,7011846402,36.0,94077.0,443.7,26,sudeste,casado(a),médio,0,cartão de crédito,13
ELIAS Q.,feminino,v27c6avifoloc30qixfc89gk0b5nea,4023565257,54.0,91158.0,586.7,25,sudeste,separado(a),graduado,0,cartão de crédito,0
AMANDA C.,feminino,0mzb3nwkww0ik6gjx4z0g6d27svbgo,4242817089,48.0,130951.0,726.5,64,nordeste,solteiro(a),fundamental,0,cartão de débito,5
DEBORA O.,feminino,cc2rp0729ckdx708wfiwo0d96tqc7e,,,96225.0,,40,sudeste,separado(a),médio,0,boleto,17
BEATRIZ T.,feminino,ofkatrvzjxu6k7car2qhf9p5b1q24i,6796327805,46.0,32730.0,594.5,27,nordeste,solteiro(a),,1,pix,0
MARCIA B.,feminino,d6q5buq4jgzuj1holx03f12hgqm74o,,,69395.0,674.0,34,sudeste,solteiro(a),outros,0,cartão de crédito,8
MARIA E.,feminino,7svp4bo24a77rrqs4i10cs7xwsxfov,2814097548,37.0,104789.0,412.4,25,centro-oeste,divorciado(a),fundamental,1,cartão de débito,0
TAIS F.,feminino,zb4xm9vkxqehnw2804o3dqws8xbj3o,,45.0,92097.0,,49,centro-oeste,casado(a),graduado,0,cartão de crédito,0
SUELI I.,feminino,tv8bi59kf5g5ph7dox0bi8rxgfnp0p,,30.0,55894.0,445.3,91,nordeste,casado(a),médio,0,cartão de crédito,6
APARECIDA L.,feminino,rvzmwsh2b50tscpwocxc5p4br2mhri,9017720160,40.0,76892.0,522.4,45,sudeste,divorciado(a),médio,1,cartão de crédito,5
CRISTIANE I.,feminino,n0arj93x20s0ztikrv1taw606ngk17,,23.0,35586.0,363.7,48,centro-oeste,divorciado(a),fundamental,1,cartão de crédito,0
SIMONE M.,feminino,gu31jg8c4tm63rawlajm7e80wtglzg,,26.0,36820.0,299.0,30,sudeste,casado(a),graduado,1,transferência,14
JULIANA C.,feminino,x467wwnll8upq70lzgpuk1d1n27phr,2571307531,31.0,29195.0,397.7,18,nordeste,divorciado(a),,0,cartão de débito,0
SANDRA W.,feminino,gw3ukixw53cbdhjhpdtgx9jg5wzr47,,40.0,34898.0,422.5,18,sul,solteiro(a),médio,0,cartão de crédito,0
FERNANDA D.,feminino,vawj1tp7h06f9f83m9ms1nqa7hm800,,29.0,47071.0,442.5,45,sudeste,casado(a),médio,1,cartão de débito,0
RITA K.,feminino,j5ckft6wkvqbk4rgv8jx5bzwbk4ov5,7705020089,39.0,69855.0,667.5,22,nordeste,solteiro(a),fundamental,2,pix,10
GABRIEL Q.,feminino,5i8bzbvtjkhvhxbm7jlqui061fv4cb,9610874113,23.0,82970.0,401.2,27,sudeste,casado(a),pós-graduado,2,cartão de crédito,10
NATALIA S.,feminino,ciulur5chge1ph6kbiwif0gdd0abz5,4488519920,27.0,70348.0,307.6,22,sudeste,casado(a),graduado,0,pix,0
JOSEFA J.,feminino,4acdwzhle9meewrlarqbvabrbvharr,,27.0,30076.0,648.8,18,nordeste,solteiro(a),fundamental,2,boleto,9
VITORIA S.,feminino,lwi8d6qwxva2umduzb64lhox5uhmm7,,41.0,57206.0,357.8,28,sudeste,separado(a),,2,cartão de crédito,5
JOSEFA S.,feminino,o4ewk1t65az8u4ap1xsebeaov3fx2g,,49.0,71971.0,447.7,44,sudeste,solteiro(a),médio,1,cartão de débito,6
LUCIANA I.,feminino,g03ia3cz2799zrz5k7agdvnlqcroix,9806319972,48.0,54873.0,765.0,45,sudeste,divorciado(a),médio,2,cartão de débito,2
LUANA H.,feminino,e0gtu2tlw21loplkzbbj7h5q0erj2q,3864945511,26.0,57053.0,362.9,22,sudeste,separado(a),,1,cartão de débito,0
MARLENE A.,feminino,33luhhn0dzk6z4qa9cusvj1z5dgp9z,,41.0,75961.0,539.2,23,nordeste,viúvo(a),fundamental,0,transferência,6
MANOEL T.,feminino,venqvjzj8i0qj4si6jwwk7bc1pz0at,5932181817,43.0,46421.0,502.2,27,sudeste,casado(a),graduado,3,boleto,5
JAQUELINE W.,feminino,juf9b7h7ok2fm6cjqlcr8cm6fzsvug,0705949470,30.0,28732.0,514.7,15,norte,casado(a),pós-graduado,3,cartão de crédito,9
MARIA W.,feminino,8zssh8aahoxalsml2i8si0bmd5n7ge,4514234524,38.0,75211.0,462.8,60,sudeste,solteiro(a),outros,1,cartão de débito,5
ISABEL Q.,feminino,taq0bs00vsq138k81qxtmtlfs9v0e5,5363257525,35.0,32228.0,614.5,18,centro-oeste,separado(a),médio,0,cartão de débito,6
JULIANA D.,feminino,lpovdtmk12hfgg736wlefz26twn5e3,7222497434,38.0,87579.0,495.6,40,nordeste,separado(a),médio,1,cartão de crédito,0
MARIANA S.,feminino,rz9pxis9bb77lho4e3gjzllv2taqg4,2831009243,25.0,74211.0,,26,nordeste,casado(a),pós-graduado,0,cartão de débito,0
SUELI V.,feminino,nuz9p5t270i2fpub3n4758e15n0ww3,0465129255,32.0,80592.0,439.0,45,nordeste,casado(a),médio,1,cartão de crédito,0
BRUNA S.,feminino,hvgqvufvrr0pxkqohn5xosqcu0frws,,39.0,73663.0,611.8,44,centro-oeste,solteiro(a),fundamental,2,cartão de débito,0
BRUNA K.,feminino,207ri70cikmuwrjsiee0q637ox2lwv,1972272761,37.0,70378.0,440.0,42,sudeste,divorciado(a),fundamental,1,cartão de crédito,7
DANIELA J.,feminino,j5i9url4v35zwcfnalfstz1adc5hvm,6912745593,45.0,59540.0,686.6,29,norte,divorciado(a),,1,cartão de crédito,9
ANA D.,feminino,18ce5je8uwja8c86jangcmtdd1fdsc,9544510286,51.0,34780.0,583.4,22,centro-oeste,separado(a),fundamental,0,cartão de crédito,2
ISABEL W.,feminino,jsmvkglbpu5jg9p6p4kca3eo9uvzrx,5657124208,25.0,73021.0,369.6,30,nordeste,casado(a),,1,cartão de crédito,1
VITORIA Q.,feminino,dgcqv9ncilsvdp2fgfh2or4l4dilpr,,30.0,43169.0,477.0,27,sul,solteiro(a),,0,boleto,0
BEATRIZ L.,feminino,l8hngwzpkmilqu3tpv93mgm76n27in,,,91423.0,442.5,23,sudeste,casado(a),pós-graduado,0,pix,19
LETICIA W.,feminino,k123zk0x7nn75i00jqd744bzhk29qf,,29.0,61422.0,473.2,29,sudeste,separado(a),,2,cartão de débito,0
FERNANDA P.,feminino,vw6fjuivnfqub3voss7wl6ve258q5r,3807512012,39.0,49954.0,383.9,26,sudeste,casado(a),fundamental,2,cartão de crédito,0
ALINE R.,feminino,q58sr0491eva3klh8lt681h4sj5qow,8267551810,40.0,51396.0,609.5,62,nordeste,separado(a),graduado,2,pix,6
JULIA T.,feminino,qjacn6nq2v928w4fqe7247hszk4jd2,2424423762,31.0,53680.0,313.2,26,sudeste,solteiro(a),,1,pix,8
CAMILA I.,feminino,dj8s48pfhcaqm5msjotvj8nreu8s9k,6539897188,27.0,36913.0,502.3,15,nordeste,casado(a),fundamental,0,cartão de crédito,2
JOSEFA Z.,feminino,noi4q4jjmevgkp887028t7g9zaj7gs,8139922206,45.0,54309.0,427.2,34,sudeste,divorciado(a),fundamental,0,cartão de débito,8
TEREZA K.,feminino,5ixrc8wrw0of7wuo3oqn9feqafqmul,,24.0,45835.0,614.5,14,nordeste,casado(a),médio,1,boleto,7
LARISSA U.,feminino,brxnzrkk86npzhcq6f5fg5zbjw7mea,7588788077,29.0,35655.0,475.6,36,sudeste,divorciado(a),médio,0,cartão de débito,11
BRUNA K.,feminino,rbnc7opmrw9wptdt34zeuzhtll834i,1360503969,35.0,27830.0,685.6,14,centro-oeste,solteiro(a),graduado,0,cartão de débito,11
SONIA W.,feminino,6m9iia3vzsoavt8114hmms593fu68k,7865091545,34.0,62382.0,,40,sudeste,separado(a),outros,1,cartão de crédito,5
JESSICA S.,feminino,kwe4kiozviaumcjt6u4qtemngw77lb,,37.0,43540.0,421.2,26,sudeste,solteiro(a),fundamental,2,boleto,6
PATRICIA D.,feminino,r63co2p82jvoxmhclnk64155bz5ami,,20.0,39108.0,257.4,11,sul,casado(a),,2,boleto,10
TAIS J.,feminino,60eatm9n7lnmu6bkbpk1mecxrmlz7l,7250661889,37.0,55621.0,554.7,60,nordeste,casado(a),fundamental,0,cartão de crédito,11
AMANDA V.,feminino,xrfcnkwrg6ftb372gtrjxi8ica624o,0716069487,57.0,36237.0,641.8,45,centro-oeste,divorciado(a),fundamental,1,cartão de crédito,14
JULIA Z.,feminino,n7ewj0cfqi5dtxegxt8af2qdu1a1bb,1012933686,44.0,57633.0,716.4,83,nordeste,solteiro(a),fundamental,1,boleto,2
JOSEFA L.,feminino,1dn7lrrjjjx76vhwqlaovo2auufq38,,22.0,49898.0,499.5,29,nordeste,casado(a),fundamental,0,cartão de débito,0
JOSEFA O.,feminino,wabketst27eou3f85pt7i4i7zga53o,,39.0,46928.0,354.2,32,sudeste,divorciado(a),médio,1,cartão de crédito,0
LETICIA Q.,feminino,bi7fcj5jjvrd7lzq3u5hr5l4pona0q,,50.0,90781.0,820.3,58,sul,casado(a),médio,2,boleto,7
RENATA O.,feminino,1os10npvbumoi0gt2atsfwjgot45n9,,37.0,43868.0,523.5,25,sudeste,casado(a),outros,1,cartão de crédito,0
MARIANA B.,feminino,s5e5r6soowju9ubke35kcg8r3uegax,,35.0,71141.0,417.3,33,norte,separado(a),pós-graduado,1,cartão de débito,9
CLAUDIA J.,feminino,rwdm8ikbiztja0xvc4bsgx9o05p89r,9089192739,29.0,71648.0,582.4,33,centro-oeste,solteiro(a),,1,cartão de crédito,0
VITORIA F.,feminino,3edftnb6p5eml7e79vo1v1jihp4b8k,9178617751,44.0,108288.0,420.6,39,sudeste,separado(a),,0,cartão de crédito,9
RITA V.,feminino,l51xu9sb0j5g5kkdl2brhszsh27cpr,7252895884,39.0,54766.0,679.0,35,sudeste,separado(a),médio,1,cartão de crédito,8
LARISSA G.,feminino,tcf28dpmoze5irk7isis8tzs7jfhvg,3201757106,,52906.0,548.7,45,norte,casado(a),médio,1,pix,0
ERICA P.,feminino,8et48wtfn8pq97v5e2zwuv2m3phvtx,3321820499,31.0,35175.0,290.9,49,sudeste,casado(a),pós-graduado,2,transferência,9
MARCIA G.,feminino,kl0kqo3ikxzlz99w1dmzveb5px7ed4,1176231851,,41839.0,442.2,39,sudeste,solteiro(a),pós-graduado,1,cartão de débito,0
SONIA N.,feminino,pl6k488xf3gs6do7u3ad4rgjpahxf7,,52.0,86313.0,524.8,72,sul,casado(a),outros,4,pix,0
LETICIA K.,feminino,7gzsxphn2uri86d0rd0dmpscrgze6o,,27.0,50722.0,535.2,24,nordeste,divorciado(a),,1,pix,3
BRUNA C.,feminino,ok99ht6amotwx48h3c8lkd58314c7o,9126682077,,56148.0,408.2,20,sudeste,casado(a),graduado,1,cartão de crédito,6
ROSANGELA D.,feminino,2g3asl45h1vvabcghs2r0kfeqwv5l2,8174493453,30.0,65276.0,395.9,24,sudeste,separado(a),fundamental,1,pix,2
FERNANDA A.,feminino,a6qlgbikxwaggzi95lbxxlo4x1uhii,1402425135,34.0,50923.0,509.7,67,nordeste,casado(a),outros,0,boleto,11
JOSEFA J.,feminino,ud71alghdj32ah80cpw8cqwdi7psue,3522115855,34.0,29631.0,474.9,30,sudeste,casado(a),fundamental,1,boleto,14
ANTONIA P.,feminino,it5hiujn7eahlbm4duj33jm1x3bgaf,7125103832,21.0,68997.0,421.5,30,sudeste,solteiro(a),médio,2,pix,12
FERNANDA W.,feminino,3uzl7c7ujd5god2ppnn3q1t5vn4uxt,3872558541,27.0,52026.0,309.7,37,sul,solteiro(a),outros,1,cartão de débito,0
DANIEL O.,feminino,4p99nju8fe630ax0mw0x5tro8075jt,,21.0,38170.0,208.7,127,centro-oeste,solteiro(a),médio,1,cartão de débito,0
CRISTIANE O.,feminino,2xpiuigu7uihxhzkaprrrc3nq85x92,,28.0,49672.0,343.7,25,sul,casado(a),fundamental,1,cartão de crédito,0
LARISSA S.,feminino,v5f4lr2qzjtl7ap6hcq5wll3j34fm7,7099002759,32.0,50298.0,279.7,30,norte,casado(a),pós-graduado,1,cartão de crédito,5
TAIS W.,feminino,jxk0x72wvptlngknblpp8nmtobqude,7710195107,55.0,71005.0,542.6,38,centro-oeste,casado(a),outros,2,cartão de crédito,0
JULIANA J.,feminino,a0014toron5kbxoing5tr3c62p8xr0,,36.0,31847.0,620.2,40,sudeste,casado(a),outros,0,cartão de débito,9
ANA C.,feminino,5ejab10xvvdc074wwwl65dmt52zmc1,,25.0,56596.0,342.4,25,sudeste,casado(a),médio,2,cartão de crédito,0
GABRIEL O.,feminino,95f1lpwldm241kiixdo3vsiz9fp6b5,,34.0,57017.0,610.0,31,centro-oeste,solteiro(a),outros,2,cartão de débito,11
