nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso,cliente
BEATRIZ G.,feminino,0f5kr53cjtadxwq4807js4x9d5ppwb,4343293465,36.0,50672.0,445.0,44,sudeste,casado(a),,1,boleto,16,1
MARCIA U.,feminino,5hgn0od9pwuvatdd375hpitk4tmvg0,7809728211,25.0,56940.0,411.6,81,sul,casado(a),,0,pix,9,1
LUCIANO M.,masculino,gvq5lini2t0qigfrfb2n9s2zqzzvno,,21.0,52637.0,211.7,20,sudeste,solteiro(a),fundamental,1,cartão de débito,27,0
ADRIANO B.,masculino,25w4f23z814tc39fduelseteoalplc,,,95500.0,529.1,25,sudeste,divorciado(a),outros,1,cartão de crédito,0,0
VINICIUS A.,masculino,hp5mjeqflb19kfo91v67hq4c1gfo6o,5644642655,26.0,56252.0,397.5,29,sudeste,separado(a),,2,cartão de crédito,6,1
CARLA T.,feminino,xzizh9e6p43crz4eg4wagiveqjmei7,6956711663,37.0,31510.0,637.6,31,sudeste,casado(a),graduado,0,pix,0,0
FELIPE X.,masculino,j12lf79sqooi3hlkvixlg3ocrfhs7a,4848090173,,39142.0,410.5,17,sudeste,solteiro(a),outros,1,cartão de crédito,4,0
FRANCISCO V.,masculino,qlvecisjdhva6pensj1mfseuh9we1i,6982979874,25.0,63945.0,295.1,25,sudeste,divorciado(a),graduado,0,pix,0,0
RAFAEL P.,masculino,1ipzvw4nzc5dw2c305qjso7lhp3dbp,0611495164,35.0,75097.0,440.1,41,sudeste,casado(a),médio,1,cartão de crédito,12,0
JOSEFA G.,masculino,94eicmcfoaamxksae5fgw77gh2o4ts,6923506656,36.0,91204.0,494.6,25,sudeste,divorciado(a),fundamental,0,pix,0,0
ANDRE S.,masculino,euomqdcdk5pgeamela0re47q5k7skw,7831105188,,51701.0,406.7,17,sudeste,casado(a),graduado,1,pix,8,1
GABRIELA Q.,feminino,1n9q1vftlz305itxm97tawkfn0qjv4,,,55118.0,384.5,26,sudeste,solteiro(a),fundamental,0,cartão de crédito,13,0
PEDRO P.,masculino,z993vs2ujjrwiixgimgbxxda9bm6f7,3775379268,34.0,68999.0,582.7,24,sul,casado(a),,2,pix,0,1
VITOR N.,masculino,qoc3aopqxrua2nrs1wg7iwbws860rb,3934088663,37.0,89318.0,402.9,21,sudeste,solteiro(a),fundamental,0,cartão de débito,0,0
GABRIEL S.,feminino,p86c34l0km8fn7t4g1ik0hvi49o9tp,,29.0,77398.0,291.8,29,sudeste,divorciado(a),fundamental,0,pix,0,0
CARLA I.,feminino,0xbm0ssipj26kan7rnsaeg7ia2fl6o,0621858344,46.0,77953.0,689.6,63,sudeste,casado(a),graduado,0,cartão de crédito,0,0
DANIELA E.,feminino,hgw69kjnr0caf4987ma3i7bgufbvub,9407130975,30.0,28520.0,610.6,17,norte,casado(a),médio,1,cartão de crédito,7,0
RENATA Z.,feminino,q68meal7kkikhd7za5pn39gcxbn02l,0726151599,34.0,52226.0,619.0,51,sudeste,casado(a),,3,cartão de crédito,16,1
LUANA D.,feminino,xbw28alrxhvjauwu8tkq3j23qapo90,9609050961,23.0,49852.0,,49,sul,solteiro(a),graduado,3,cartão de débito,0,0
SEBASTIAO P.,masculino,elj2gj081h8mmrp74fz22vgxgok12k,8841977550,35.0,46829.0,594.6,35,sudeste,divorciado(a),fundamental,1,cartão de débito,10,1
TEREZINHA A.,feminino,bo8qizeu2w1irzhxaivc2jkgvtzabi,,,39512.0,477.5,22,sudeste,solteiro(a),fundamental,1,cartão de crédito,10,1
JULIO H.,masculino,rm3gl5bmpjiz8e82dxk0ujvjpjzti0,0742046852,35.0,77216.0,388.3,32,nordeste,divorciado(a),fundamental,1,pix,0,1
JOSEFA R.,feminino,qzvdajh3gd2123xws96hbwg545i4aj,7277211749,37.0,52621.0,561.6,24,sudeste,casado(a),outros,0,cartão de crédito,0,0
VINICIUS U.,masculino,1rw55tmtkgusm8mg9gxn3bripn9lbf,,36.0,77294.0,713.1,29,sul,casado(a),,1,pix,5,0
CLAUDIA L.,masculino,7pblgjsi4pn2il5usn9qx0h57i5xgq,0179625504,43.0,86080.0,602.5,19,sudeste,solteiro(a),médio,0,cartão de crédito,6,0
FRANCISCO N.,masculino,j14vzx0hkmqbtocpt52km3q2l1njrt,3443845824,46.0,158045.0,529.8,28,sudeste,casado(a),graduado,2,cartão de crédito,13,1
DIEGO N.,masculino,xdtooe482m6o6xldndfk96dlz15htv,,26.0,52681.0,408.1,22,centro-oeste,solteiro(a),fundamental,3,cartão de débito,0,1
JESSICA J.,feminino,23j1b105r38u7ldfjeijwjo76v6wwu,4556091575,52.0,64855.0,768.5,55,sudeste,solteiro(a),,3,cartão de débito,11,1
LUIZ B.,masculino,pnquj7t4n3zqa59rzaf92u76i4l1s9,4024188500,24.0,48008.0,,19,sudeste,solteiro(a),fundamental,1,boleto,0,1
CLAUDIA V.,masculino,qwmwwmjjv02bp2tvwbfvmlbuuhf29o,,43.0,91191.0,766.1,32,norte,viúvo(a),fundamental,1,cartão de crédito,0,0
ROSANGELA J.,feminino,tzkua01x9nb5lrbc86kou5h332j126,,28.0,61136.0,342.7,34,sudeste,solteiro(a),fundamental,0,boleto,8,0
MARCOS B.,masculino,dla1q4bpzli1f194ifrbu6zecf6r69,3776397071,,45445.0,607.4,55,centro-oeste,casado(a),graduado,0,cartão de débito,8,0
GABRIEL F.,feminino,ibmfe7ws17v3tduou70pu645hq9ahq,6734823647,32.0,47522.0,368.8,15,sudeste,solteiro(a),fundamental,1,boleto,2,1
ERICA Q.,feminino,ce2p9kte22qcch7ggkzwxfjte363kt,0273160872,43.0,41727.0,544.0,20,centro-oeste,divorciado(a),médio,1,cartão de débito,0,0
FABIO W.,masculino,h5nor559mgw2bankzdspwddp35zmvl,6887529587,27.0,70455.0,245.6,23,centro-oeste,solteiro(a),pós-graduado,0,cartão de crédito,8,0
CLAUDIA N.,feminino,d6mk1dx4mmpmg7beso0ss7kht25hfa,3420625391,,90514.0,860.2,53,sudeste,casado(a),fundamental,0,pix,11,1
VITORIA P.,feminino,3xrnpocx7r2gu7v1d7zikirji0cc5i,9248045764,41.0,91727.0,468.9,24,sudeste,solteiro(a),,1,pix,10,1
ALEX A.,masculino,pncsoava8a6zg0mzzp57hcxd52noso,,28.0,58278.0,354.5,14,nordeste,solteiro(a),graduado,2,boleto,10,0
JULIO V.,masculino,u8gqmg87pj5fzp72wxd9t0wexpzqve,9930646157,48.0,44511.0,462.5,14,sudeste,divorciado(a),fundamental,0,cartão de débito,11,1
FERNANDA U.,feminino,gr0jv3a2m18ogkivx1fgeok2np82ex,,45.0,124217.0,643.4,30,sudeste,viúvo(a),outros,0,boleto,12,0
VANESSA N.,feminino,14makazet8506zxivaj7etofj7z051,2724834276,21.0,31955.0,493.0,21,centro-oeste,divorciado(a),,0,cartão de crédito,0,0
CARLOS N.,masculino,rclxtombcbs5ojok2ft829wmmvrelr,1961083361,44.0,49111.0,410.9,70,sudeste,solteiro(a),médio,1,transferência,0,0
GABRIEL N.,masculino,vgtfh6tt96qdl3hxvgtqxajei7mg3i,0448551220,29.0,48818.0,426.4,33,sudeste,solteiro(a),graduado,1,pix,5,0
JOSE I.,masculino,l1xvo7a2l10qi7wjzc8bs2gu3u92zs,4926808186,25.0,82532.0,519.0,29,sudeste,casado(a),fundamental,1,cartão de débito,6,1
TEREZINHA N.,feminino,m4whthqmhv5j91uzmolh0r8qpnfk24,,26.0,52274.0,285.1,19,sudeste,casado(a),fundamental,1,cartão de crédito,0,0
ELIAS U.,feminino,tal3ejeqng722mux46ehq9iqogv3v2,9907770777,36.0,32272.0,379.7,26,norte,casado(a),,0,cartão de crédito,3,0
CLAUDIA R.,masculino,utx34kz3q6ls5q3ofqf4psa0z2uw0z,6067366142,32.0,37096.0,663.3,13,sudeste,separado(a),fundamental,0,cartão de débito,0,0
JULIO F.,masculino,vxx44lefxa6l185zucw5jeko5lghfd,1233149452,37.0,87890.0,622.2,30,sudeste,solteiro(a),médio,0,cartão de crédito,7,0
MARLENE Z.,feminino,83mo7j8a8oep9eofkzbg4vhnil6g9f,,,53430.0,319.2,23,sul,casado(a),médio,2,cartão de crédito,0,0
ALEX Z.,masculino,wkr5zwlwr34dp0m27gdmn8azms9cv4,3490513024,37.0,68524.0,536.1,23,centro-oeste,casado(a),outros,3,cartão de débito,0,0
GUSTAVO C.,masculino,61ffslaa24ugxethh54kf3u6j4rgp5,2329168715,35.0,44297.0,354.1,49,centro-oeste,separado(a),,2,cartão de crédito,7,0
GABRIEL O.,masculino,0nro41m39kvpjmnoer5tszgt149exz,6203145629,36.0,53443.0,561.5,27,sudeste,solteiro(a),pós-graduado,0,cartão de débito,11,0
LUIZ O.,feminino,60ud1jlkraic7dggxse7hurmtipgq7,3413807506,27.0,54321.0,627.0,36,nordeste,solteiro(a),médio,0,pix,0,0
LUCIANO F.,masculino,6z7peb90g9rwu9oddp14fc5rcelf3s,,31.0,68531.0,626.8,68,norte,viúvo(a),graduado,1,cartão de crédito,7,0
ELIAS O.,feminino,s61f0840jse42d3gzxu0cdwkhpoj9p,5435329362,29.0,31202.0,525.1,17,nordeste,solteiro(a),graduado,2,cartão de crédito,2,0
SERGIO Z.,masculino,a1p6h8ra2d3w06t8pmhpp1zbri9e9n,0721662571,23.0,42660.0,247.7,30,sudeste,separado(a),fundamental,1,pix,0,0
ROBERTO Q.,masculino,vv9q04quf3d1b9odqll4qwfp88be46,7276373159,33.0,60305.0,352.7,31,sudeste,divorciado(a),graduado,0,cartão de crédito,0,0
CLAUDIA U.,masculino,da4xn0qc78vtlf5514bwg24up1z9x4,2567893646,26.0,71024.0,366.2,15,sudeste,casado(a),fundamental,0,pix,8,0
EDSON B.,masculino,5l74mn0ww8mhstxinvcoizcj426icx,,49.0,63556.0,622.1,63,centro-oeste,separado(a),,0,pix,0,0
CLAUDIA G.,masculino,7m6jd4ahm4n1s64a1oxdbc492cdn4v,6859070287,30.0,60236.0,671.5,19,sudeste,separado(a),médio,2,cartão de crédito,3,0
LUCIANO B.,masculino,uikni969g3t3z1vptghxwborfrat84,,52.0,72213.0,606.9,25,sudeste,viúvo(a),outros,3,cartão de débito,2,0
NATALIA G.,feminino,co3ex92c8apssbncwexthkdiwgn4gd,6156233835,39.0,34731.0,376.2,21,nordeste,divorciado(a),fundamental,2,boleto,1,1
ANDERSON C.,masculino,sjb7ik646xpjtbm42e23f893qgip15,,37.0,89969.0,452.1,16,sul,divorciado(a),outros,1,cartão de crédito,0,0
JOSEFA U.,masculino,31s3vthf8sdiol1of2591qxgpa5hbs,4403170060,33.0,67952.0,,18,centro-oeste,divorciado(a),pós-graduado,1,cartão de débito,6,1
JAQUELINE T.,feminino,pwuo4kur6f5k9kgt2mp45690gidnbm,,50.0,73599.0,507.1,30,nordeste,solteiro(a),outros,2,pix,3,0
ALEXANDRE A.,masculino,x61bxbhcedqi4u0qdeeszu1genmrpn,2293329982,39.0,98560.0,345.3,22,sul,casado(a),,3,cartão de débito,5,0
ALEXANDRE V.,masculino,2l4vhec5aseokq32gkr6coaog4zx7o,1312154071,47.0,93372.0,519.1,24,norte,separado(a),fundamental,0,cartão de crédito,2,0
ANDRE D.,masculino,2t30ritbxcxpdif89r0iipfmji1ijg,8253634200,29.0,66269.0,364.5,15,sul,solteiro(a),pós-graduado,0,cartão de crédito,0,0
EDSON R.,masculino,18tv3wjx6vb0b9pi5rg7mnpveanhiz,9140367346,34.0,110832.0,508.2,62,sudeste,divorciado(a),fundamental,0,cartão de crédito,9,1
LUIZ M.,masculino,fqt3z6uq2bsx3dab7qo4ojtbn5qrjq,6585196132,33.0,55460.0,465.6,81,sudeste,solteiro(a),médio,0,cartão de crédito,21,0
GERALDO S.,masculino,z4c8onuadku9vumffx9z80b8tzmrre,,39.0,73413.0,380.2,32,sudeste,casado(a),outros,2,cartão de débito,0,0
JORGE M.,masculino,9wfnj59p9z8mjovdkqaw9db5tg0ont,4832749213,40.0,71896.0,426.3,19,sudeste,separado(a),,0,cartão de débito,0,0
FERNANDA G.,feminino,0fl64artl51o4zk3x2l69sellcbmc6,,32.0,45533.0,,99,sudeste,solteiro(a),médio,0,cartão de crédito,11,1
ALEX A.,masculino,llx3bf4sf6e8kmnk9ngle74lom99v9,,46.0,78584.0,476.6,23,sudeste,separado(a),graduado,1,boleto,14,1
LUIZA X.,masculino,r1777sl2w9g8kzkwzmhbxv8zrlfpkw,0403845306,32.0,70173.0,304.1,54,centro-oeste,casado(a),outros,0,pix,5,0
SAMUEL U.,masculino,o4klwb2wdfj25ug1h8cz3k9v9ewjd4,,33.0,41674.0,462.2,87,sudeste,solteiro(a),pós-graduado,0,cartão de crédito,0,0
ALESSANDRA V.,feminino,qbmuih7v5g8vb6fpdw34uomte1rkco,2430916006,48.0,29294.0,806.2,65,sudeste,solteiro(a),médio,2,cartão de débito,9,0
NELSON R.,masculino,zpfsxshj8a4up1cw15m6pts24t5umb,0144629988,33.0,41697.0,366.6,47,centro-oeste,casado(a),outros,3,cartão de débito,6,1
GABRIEL X.,feminino,sm4bnrsmt6aucf6rr1kwb0i7mxdak6,7009626223,42.0,61597.0,482.7,31,sul,solteiro(a),médio,1,boleto,0,0
ROBERTO W.,masculino,k0vvi6tmnrftc1e7r208jpse0itv9n,,33.0,60667.0,513.5,25,nordeste,viúvo(a),outros,0,cartão de crédito,10,0
ERICA T.,feminino,2if6dtm8b3b2kh52spesrgx0z82usj,,47.0,48988.0,399.8,30,nordeste,solteiro(a),outros,1,cartão de crédito,12,0
DANIELA N.,feminino,4iz2g5p147dlhc0tpppvrnz7qrg127,0739782487,26.0,50721.0,576.6,91,sudeste,solteiro(a),médio,1,pix,2,1
ANDERSON L.,masculino,gme4fth1t3h1br21qjesgj7h5qmd6k,0011137185,44.0,43255.0,401.7,33,nordeste,solteiro(a),fundamental,0,pix,8,0
JEFERSON H.,masculino,xsrnw26m34pi3nvf756p3lkjpbn1bw,,42.0,76721.0,447.5,25,sudeste,solteiro(a),pós-graduado,2,transferência,9,0
MARCIA X.,feminino,koj82iht9udxbvek7kagdrnb3rgrc7,,35.0,61211.0,399.2,33,sudeste,divorciado(a),graduado,0,pix,4,0
TEREZINHA V.,feminino,x0ga6qw0drzaiw55iu91hp0t7e9xbr,9647028313,30.0,42219.0,444.4,29,norte,separado(a),graduado,2,cartão de crédito,12,0
VITOR S.,masculino,bh5po97uf3q4xqlj0f8dplrohpojrm,6776194865,,52632.0,536.5,30,nordeste,solteiro(a),fundamental,0,boleto,9,1
ANDERSON W.,masculino,xwdarbbcaum7na766xjentklzes4cn,,40.0,67982.0,753.3,53,centro-oeste,casado(a),,1,pix,9,1
ANTONIA K.,feminino,ogdfmz87d5gd86c8fdftirf3hjbk4r,4269996986,46.0,31795.0,623.8,68,centro-oeste,viúvo(a),fundamental,2,cartão de débito,0,0
GABRIELA W.,feminino,e2dj1eb4bma9bpnpxbekgx57sq282c,,44.0,89865.0,503.0,33,sudeste,solteiro(a),outros,1,pix,5,1
FERNANDO L.,masculino,nkw9gogozbifrvz47s9akgjee6oerm,,,61585.0,446.3,89,nordeste,divorciado(a),,3,cartão de débito,4,0
ELIAS M.,feminino,iaolkhx5vbst8jxg8svtcr07vnaecc,8505583885,40.0,47840.0,,24,norte,solteiro(a),médio,4,boleto,3,1
TEREZINHA I.,feminino,34rxh1ach5pa0qxbbe3l1bj0vsiw8h,0471737283,25.0,56731.0,301.5,24,sudeste,solteiro(a),médio,2,boleto,0,0
VERA X.,feminino,9m6uoaivtciber663cjooizeofg15f,8020715399,59.0,66037.0,653.8,41,sudeste,casado(a),fundamental,1,transferência,0,1
GABRIEL V.,feminino,px9tj134911vmmcj76o8ec7uiodmhd,,,43158.0,424.6,32,sudeste,divorciado(a),médio,1,cartão de débito,0,0
JOSEFA C.,feminino,ohe9k7re4wpkk628wrpn0pblsv8h1k,4430119614,35.0,34867.0,550.4,28,nordeste,casado(a),fundamental,1,cartão de crédito,0,0
LEANDRO T.,masculino,l9p54mthvf2tj8nnmm26pixl9qmcr3,0338666487,43.0,68316.0,615.6,32,sul,solteiro(a),fundamental,1,cartão de crédito,4,1
ANDERSON J.,masculino,dgz59xp0kjt4uf4rfn8e3s3vpfz2x5,2466788077,27.0,77303.0,595.4,24,sudeste,solteiro(a),,0,cartão de crédito,5,1
RAIMUNDO G.,masculino,mtp630g3v5es7cvghglgq2ph9crz4e,3005348043,32.0,44569.0,575.8,26,nordeste,casado(a),graduado,2,cartão de crédito,0,0
SEBASTIAO O.,masculino,7286kh7zp3lco95mfcu6v5acfp81nn,0599804988,25.0,59181.0,223.8,14,sul,solteiro(a),fundamental,1,boleto,0,0
GUILHERME X.,masculino,krgiiczca6fdhv8zwfqs2iva79qg4t,,40.0,54176.0,671.6,64,sudeste,solteiro(a),fundamental,1,cartão de crédito,0,1
JAQUELINE J.,feminino,1i0mc57lacno178vh4i6zg10387m1i,0021321575,22.0,50393.0,,76,nordeste,separado(a),fundamental,2,cartão de débito,12,1
PEDRO R.,masculino,a3qzbae65t8wpqqiazaxeidpodwvz2,8114688927,40.0,62248.0,339.8,61,nordeste,solteiro(a),médio,1,cartão de crédito,0,0
LUCIANA J.,feminino,f0ipvadqtu7pdiahu1rw4agfh2rdrg,7240796674,,25273.0,438.3,17,sudeste,casado(a),fundamental,3,transferência,15,1
CAMILA T.,feminino,de82bphms7f2dvh3awbvn21z51n4nr,6229344371,56.0,87217.0,812.0,33,nordeste,divorciado(a),fundamental,1,pix,15,1
ELIAS U.,feminino,lgruqilmvj5zq7673mrxbsn7fdp1md,7189846309,25.0,44286.0,473.5,21,nordeste,casado(a),fundamental,0,cartão de débito,0,1
ANA H.,feminino,gru654fdd2lsvlnp27f15rrtv19iti,9290535940,46.0,80470.0,686.6,50,norte,divorciado(a),graduado,1,cartão de crédito,4,1
ADRIANO R.,masculino,1lclfjqjh1mrj6nq0rmsafoa6v23du,8843512110,31.0,44424.0,408.6,34,sudeste,separado(a),graduado,0,pix,5,1
AMANDA I.,feminino,q5qssr3gq2pz3mube3plweuspnxjin,5901694075,34.0,51142.0,332.8,27,sudeste,solteiro(a),fundamental,1,cartão de crédito,12,1
TEREZA B.,feminino,2dkc0glgu25za5viz0aivcscvvc87i,6069286666,44.0,51209.0,583.2,41,sudeste,solteiro(a),graduado,4,cartão de crédito,11,1
BRUNA R.,feminino,imhtafjh2oeug49r1z2w5coei4jfru,8904592630,37.0,41762.0,735.5,17,nordeste,solteiro(a),médio,2,pix,0,0
FRANCISCA S.,feminino,wwr02mvqoeks2jjp90rogeh93dulv6,1569888693,,96825.0,909.2,48,centro-oeste,solteiro(a),fundamental,2,cartão de débito,18,1
RENATA O.,feminino,4v2n9k3swonjwbnhswpba7tfqd38of,0409935928,23.0,52122.0,214.3,45,norte,solteiro(a),fundamental,2,pix,0,1
MARIANA V.,feminino,6prrsjmfnghdbfusc3oh03gk0niwfr,,24.0,33330.0,386.9,36,sul,divorciado(a),graduado,4,cartão de débito,7,1
DEBORA V.,feminino,nuqhb7le9vpv28txvpv58c2qdekcab,2101789592,27.0,28063.0,338.5,73,nordeste,casado(a),fundamental,3,cartão de crédito,10,1
ANDERSON S.,masculino,qjq09lh1wlu6zctkuaabqq6f3gp2sm,,37.0,92958.0,723.3,16,nordeste,separado(a),graduado,0,cartão de débito,0,0
LUIZ O.,feminino,r6qp6lvjdqo721uzfjatgzl524pr93,3272108127,23.0,66942.0,209.2,30,centro-oeste,casado(a),médio,2,cartão de débito,0,0
CAMILA L.,feminino,74pb6rf03hst9eritleckshq5getxo,8918280465,34.0,38479.0,487.0,79,nordeste,casado(a),fundamental,2,cartão de crédito,12,1
LUANA D.,feminino,szobbirx1nl4aamzql4gfrlndo0q4i,,27.0,34100.0,580.4,48,nordeste,casado(a),,0,cartão de débito,15,0
GABRIEL V.,feminino,bqbg7ormgstj12e1iq0wev9z4ibzk0,,,37732.0,359.2,16,sudeste,solteiro(a),fundamental,3,cartão de crédito,16,1
BRUNO L.,masculino,jkfidohmh0mapxoqqgqwunekbxgr6e,6948902089,43.0,98741.0,693.4,45,sudeste,solteiro(a),graduado,2,cartão de crédito,7,1
DEBORA G.,feminino,hn4q1tmhskltoegce1888jde6jqfa0,,,26184.0,577.6,73,sudeste,divorciado(a),fundamental,0,boleto,0,0
JOSE T.,masculino,5l5zn3xuobkxjw157r10golgzacehl,7748478610,45.0,74221.0,690.5,50,centro-oeste,casado(a),fundamental,1,cartão de débito,9,1
JEFERSON K.,masculino,da832s9jx4v2zkzucfdxwcbjpfhkht,1174585950,45.0,70235.0,781.5,22,nordeste,casado(a),fundamental,2,pix,3,1
VINICIUS L.,masculino,im7cilvposql9q656nfsxmsm3wvp5q,,44.0,52071.0,744.9,18,sudeste,casado(a),fundamental,2,cartão de crédito,0,1
MARCOS X.,masculino,n7ujumu379eznwnd06belegb9boaaj,6912611358,25.0,97343.0,,54,sudeste,solteiro(a),fundamental,2,cartão de crédito,12,1
MANOEL T.,masculino,r2ia96qvrw6lcxjoicw5t56sr3pl10,0911928885,46.0,103572.0,,81,centro-oeste,divorciado(a),outros,1,transferência,7,0
ANTONIA D.,feminino,j7jn677j9at4fstcp25ummzoe4lbnj,,34.0,45900.0,484.0,14,sudeste,casado(a),médio,1,boleto,12,0
